Date,		Time,			Longitude,			Latitude,		Satellites,			Altitude,		VDOP,		HDOP,		Recording,		Speed
06/11/2017,	07:35:31,		008.545955,			047.413467,			5,				468.80,			5.38,		3.67,			0,			0.22
06/11/2017,	07:35:32,		008.545962,			047.413467,			5,				468.90,			5.38,		3.67,			0,			0.19
06/11/2017,	07:35:33,		008.545988,			047.413470,			5,				470.90,			5.38,		3.66,			0,			0.41
06/11/2017,	07:35:34,		008.546004,			047.413461,			5,				470.80,			5.37,		3.66,			0,			0.30
06/11/2017,	07:35:35,		008.545992,			047.413435,			5,				465.40,			5.37,		3.66,			0,			0.59
06/11/2017,	07:35:36,		008.545981,			047.413414,			5,				461.10,			5.37,		3.66,			0,			0.05
06/11/2017,	07:35:37,		008.545970,			047.413403,			5,				457.80,			5.37,		3.66,			0,			0.25
06/11/2017,	07:35:38,		008.545956,			047.413401,			5,				455.30,			5.37,		3.66,			0,			0.26
06/11/2017,	07:35:39,		008.545949,			047.413401,			5,				453.70,			5.36,		3.66,			0,			0.15
06/11/2017,	07:35:40,		008.545936,			047.413397,			5,				451.70,			5.36,		3.66,			0,			0.19
06/11/2017,	07:35:41,		008.545924,			047.413397,			5,				450.60,			5.36,		3.65,			0,			0.18
06/11/2017,	07:35:42,		008.545916,			047.413400,			5,				450.20,			5.36,		3.65,			0,			0.24
06/11/2017,	07:35:43,		008.545912,			047.413402,			5,				449.90,			5.36,		3.65,			0,			0.04
06/11/2017,	07:35:44,		008.545906,			047.413408,			5,				450.30,			5.35,		3.65,			0,			0.37
06/11/2017,	07:35:45,		008.545907,			047.413418,			5,				452.90,			5.35,		3.65,			0,			0.20
06/11/2017,	07:35:46,		008.545910,			047.413425,			5,				455.10,			5.35,		3.65,			0,			0.54
06/11/2017,	07:35:47,		008.545909,			047.413431,			5,				456.60,			5.35,		3.65,			0,			0.19
06/11/2017,	07:35:48,		008.545909,			047.413438,			5,				458.40,			5.35,		3.64,			0,			0.53
06/11/2017,	07:35:49,		008.545908,			047.413439,			5,				459.10,			5.35,		3.64,			0,			0.32
06/11/2017,	07:35:50,		008.545907,			047.413443,			5,				460.00,			5.34,		3.64,			0,			0.23
06/11/2017,	07:35:51,		008.545913,			047.413447,			5,				461.40,			5.34,		3.64,			0,			0.11
06/11/2017,	07:35:52,		008.545917,			047.413450,			5,				462.40,			5.34,		3.64,			0,			0.36
06/11/2017,	07:35:53,		008.545919,			047.413452,			5,				462.80,			5.34,		3.64,			0,			0.18
06/11/2017,	07:35:54,		008.545921,			047.413452,			5,				463.00,			5.34,		3.64,			0,			0.64
06/11/2017,	07:35:55,		008.545921,			047.413455,			5,				462.40,			5.33,		3.63,			0,			0.98
06/11/2017,	07:35:56,		008.545924,			047.413458,			5,				462.40,			5.33,		3.63,			0,			0.65
06/11/2017,	07:35:57,		008.545926,			047.413459,			5,				462.10,			5.33,		3.63,			0,			0.45
06/11/2017,	07:35:58,		008.545930,			047.413460,			5,				461.90,			5.33,		3.63,			0,			0.14
06/11/2017,	07:35:59,		008.545928,			047.413458,			5,				460.90,			5.33,		3.63,			0,			0.74
06/11/2017,	07:36:00,		008.545927,			047.413459,			5,				460.70,			5.32,		3.63,			0,			0.26
06/11/2017,	07:36:01,		008.545912,			047.413448,			6,				456.30,			3.16,		3.19,			0,			0.43
06/11/2017,	07:36:02,		008.545904,			047.413439,			6,				453.40,			3.16,		3.19,			0,			0.55
06/11/2017,	07:36:03,		008.545898,			047.413429,			6,				450.60,			3.16,		3.19,			0,			0.56
06/11/2017,	07:36:04,		008.545890,			047.413425,			6,				448.40,			3.16,		3.19,			0,			0.35
06/11/2017,	07:36:05,		008.545888,			047.413431,			7,				448.70,			2.74,		2.53,			0,			0.33
06/11/2017,	07:36:06,		008.545886,			047.413433,			7,				448.60,			2.74,		2.53,			0,			0.67
06/11/2017,	07:36:07,		008.545887,			047.413437,			7,				449.30,			2.74,		2.52,			0,			0.39
06/11/2017,	07:36:08,		008.545884,			047.413427,			7,				448.20,			2.74,		2.52,			0,			0.49
06/11/2017,	07:36:09,		008.545882,			047.413421,			7,				446.90,			2.74,		2.52,			0,			0.29
06/11/2017,	07:36:10,		008.545877,			047.413417,			7,				445.80,			2.74,		2.52,			0,			0.14
06/11/2017,	07:36:11,		008.545873,			047.413412,			7,				444.40,			2.74,		2.52,			0,			0.14
06/11/2017,	07:36:12,		008.545870,			047.413408,			7,				443.30,			2.74,		2.52,			0,			0.51
06/11/2017,	07:36:13,		008.545872,			047.413403,			7,				442.80,			2.74,		2.52,			0,			0.27
06/11/2017,	07:36:14,		008.545871,			047.413400,			7,				442.30,			2.74,		2.52,			0,			0.16
06/11/2017,	07:36:15,		008.545870,			047.413397,			7,				442.20,			2.74,		2.52,			0,			0.30
06/11/2017,	07:36:16,		008.545869,			047.413395,			7,				442.10,			2.74,		2.52,			0,			0.27
06/11/2017,	07:36:17,		008.545866,			047.413392,			7,				441.70,			2.74,		2.52,			0,			0.43
06/11/2017,	07:36:18,		008.545864,			047.413391,			7,				441.80,			2.74,		2.52,			0,			0.61
06/11/2017,	07:36:19,		008.545864,			047.413389,			7,				442.10,			2.74,		2.52,			0,			0.31
06/11/2017,	07:36:20,		008.545863,			047.413386,			7,				442.30,			2.74,		2.52,			0,			0.41
06/11/2017,	07:36:21,		008.545863,			047.413383,			7,				442.80,			2.74,		2.52,			0,			0.29
06/11/2017,	07:36:22,		008.545859,			047.413376,			7,				442.30,			2.74,		2.52,			0,			0.23
06/11/2017,	07:36:23,		008.545857,			047.413373,			7,				442.60,			2.73,		2.52,			0,			0.24
06/11/2017,	07:36:24,		008.545859,			047.413372,			7,				443.40,			2.73,		2.52,			0,			0.35
06/11/2017,	07:36:25,		008.545865,			047.413374,			7,				444.50,			2.73,		2.51,			0,			0.39
06/11/2017,	07:36:26,		008.545874,			047.413378,			7,				446.10,			2.73,		2.51,			0,			0.14
06/11/2017,	07:36:27,		008.545885,			047.413390,			7,				449.00,			2.73,		2.51,			0,			0.21
06/11/2017,	07:36:28,		008.545896,			047.413396,			7,				450.90,			2.73,		2.51,			0,			0.75
06/11/2017,	07:36:29,		008.545902,			047.413398,			7,				451.90,			2.73,		2.51,			0,			0.38
06/11/2017,	07:36:30,		008.545907,			047.413400,			7,				452.70,			2.73,		2.51,			0,			0.30
06/11/2017,	07:36:31,		008.545908,			047.413400,			7,				452.80,			2.73,		2.51,			0,			0.14
06/11/2017,	07:36:32,		008.545909,			047.413396,			7,				452.50,			2.73,		2.51,			0,			0.07
06/11/2017,	07:36:33,		008.545909,			047.413396,			7,				453.00,			2.73,		2.51,			0,			0.14
06/11/2017,	07:36:34,		008.545905,			047.413398,			7,				453.10,			2.73,		2.51,			0,			0.10
06/11/2017,	07:36:35,		008.545902,			047.413406,			7,				453.70,			2.73,		2.51,			0,			0.27
06/11/2017,	07:36:36,		008.545901,			047.413408,			7,				454.30,			2.73,		2.51,			0,			0.40
06/11/2017,	07:36:37,		008.545901,			047.413417,			7,				455.40,			2.73,		2.51,			0,			0.78
06/11/2017,	07:36:38,		008.545899,			047.413417,			7,				455.50,			2.73,		2.51,			0,			0.72
06/11/2017,	07:36:39,		008.545895,			047.413417,			7,				455.60,			2.73,		2.51,			0,			0.49
06/11/2017,	07:36:40,		008.545895,			047.413419,			7,				455.60,			2.73,		2.51,			0,			1.15
06/11/2017,	07:36:41,		008.545895,			047.413422,			7,				456.40,			2.73,		2.51,			0,			0.55
06/11/2017,	07:36:42,		008.545895,			047.413424,			7,				457.00,			2.73,		2.51,			0,			0.56
06/11/2017,	07:36:43,		008.545899,			047.413424,			7,				458.10,			2.73,		2.51,			0,			0.51
06/11/2017,	07:36:44,		008.545900,			047.413423,			7,				458.50,			2.73,		2.51,			0,			0.21
06/11/2017,	07:36:45,		008.545900,			047.413422,			7,				458.90,			2.73,		2.50,			0,			0.49
06/11/2017,	07:36:46,		008.545902,			047.413424,			7,				459.60,			2.73,		2.50,			0,			0.33
06/11/2017,	07:36:47,		008.545902,			047.413427,			7,				459.50,			2.73,		2.50,			0,			0.22
06/11/2017,	07:36:48,		008.545898,			047.413428,			7,				458.40,			2.73,		2.50,			0,			0.33
06/11/2017,	07:36:49,		008.545893,			047.413429,			7,				457.20,			2.73,		2.50,			0,			0.18
06/11/2017,	07:36:50,		008.545888,			047.413429,			7,				456.00,			2.73,		2.50,			0,			0.60
06/11/2017,	07:36:51,		008.545883,			047.413430,			7,				455.00,			2.73,		2.50,			0,			0.66
06/11/2017,	07:36:52,		008.545881,			047.413433,			7,				454.70,			2.73,		2.50,			0,			0.32
06/11/2017,	07:36:53,		008.545878,			047.413433,			7,				453.60,			2.73,		2.50,			0,			0.35
06/11/2017,	07:36:54,		008.545878,			047.413435,			7,				453.20,			2.72,		2.50,			0,			0.15
06/11/2017,	07:36:55,		008.545880,			047.413442,			7,				453.60,			2.72,		2.50,			0,			0.16
06/11/2017,	07:36:56,		008.545879,			047.413445,			7,				453.30,			2.72,		2.50,			0,			0.27
06/11/2017,	07:36:57,		008.545880,			047.413448,			7,				453.40,			2.72,		2.50,			0,			0.57
06/11/2017,	07:36:58,		008.545884,			047.413451,			7,				453.90,			2.72,		2.50,			0,			0.52
06/11/2017,	07:36:59,		008.545886,			047.413453,			7,				454.30,			2.72,		2.50,			0,			0.25
06/11/2017,	07:37:00,		008.545890,			047.413456,			7,				455.10,			2.72,		2.50,			0,			0.35
06/11/2017,	07:37:01,		008.545888,			047.413459,			7,				455.60,			2.72,		2.50,			0,			0.74
06/11/2017,	07:37:02,		008.545889,			047.413461,			7,				455.90,			2.72,		2.50,			0,			0.46
06/11/2017,	07:37:03,		008.545889,			047.413459,			7,				455.90,			2.72,		2.50,			0,			0.36
06/11/2017,	07:37:04,		008.545889,			047.413458,			7,				455.80,			2.72,		2.49,			0,			0.55
06/11/2017,	07:37:05,		008.545855,			047.413458,			8,				451.90,			2.18,		2.23,			0,			0.54
06/11/2017,	07:37:06,		008.545842,			047.413457,			8,				450.40,			2.18,		2.23,			0,			0.22
06/11/2017,	07:37:07,		008.545847,			047.413454,			9,				450.50,			1.95,		2.10,			0,			0.05
06/11/2017,	07:37:08,		008.545862,			047.413450,			9,				451.60,			1.95,		2.10,			0,			0.41
06/11/2017,	07:37:09,		008.545870,			047.413446,			9,				452.00,			1.95,		2.10,			0,			0.39
06/11/2017,	07:37:10,		008.545889,			047.413444,			9,				453.60,			1.95,		2.10,			0,			0.59
06/11/2017,	07:37:11,		008.545898,			047.413441,			9,				454.90,			1.95,		2.10,			0,			0.20
06/11/2017,	07:37:12,		008.545904,			047.413442,			9,				455.70,			1.95,		2.10,			0,			0.95
06/11/2017,	07:37:13,		008.545908,			047.413441,			9,				456.00,			1.95,		2.10,			0,			0.76
06/11/2017,	07:37:14,		008.545908,			047.413443,			9,				456.00,			1.94,		2.10,			0,			0.67
06/11/2017,	07:37:15,		008.545908,			047.413445,			9,				456.30,			1.94,		2.10,			0,			1.24
06/11/2017,	07:37:16,		008.545911,			047.413447,			9,				456.60,			1.94,		2.10,			0,			1.92
06/11/2017,	07:37:17,		008.545911,			047.413447,			9,				456.70,			1.94,		2.10,			0,			2.41
06/11/2017,	07:37:18,		008.545912,			047.413452,			9,				456.80,			1.94,		2.10,			0,			1.21
06/11/2017,	07:37:19,		008.545910,			047.413453,			9,				457.00,			1.94,		2.10,			0,			1.15
06/11/2017,	07:37:20,		008.545905,			047.413459,			9,				457.20,			1.94,		2.10,			0,			1.42
06/11/2017,	07:37:21,		008.545903,			047.413466,			9,				457.60,			1.94,		2.10,			0,			1.27
06/11/2017,	07:37:22,		008.545894,			047.413466,			9,				457.50,			1.94,		2.09,			0,			2.17
06/11/2017,	07:37:23,		008.545895,			047.413471,			9,				458.20,			1.94,		2.09,			0,			1.60
06/11/2017,	07:37:24,		008.545897,			047.413469,			9,				459.50,			1.94,		2.09,			0,			0.62
06/11/2017,	07:37:25,		008.545891,			047.413467,			9,				459.90,			1.94,		2.09,			0,			2.15
06/11/2017,	07:37:26,		008.545894,			047.413470,			9,				461.10,			1.94,		2.09,			0,			3.01
06/11/2017,	07:37:27,		008.545895,			047.413477,			9,				461.70,			1.94,		2.09,			0,			3.27
06/11/2017,	07:37:28,		008.545898,			047.413475,			9,				462.30,			1.94,		2.09,			0,			3.63
06/11/2017,	07:37:29,		008.545903,			047.413485,			9,				463.50,			1.94,		2.09,			0,			1.07
06/11/2017,	07:37:30,		008.545904,			047.413486,			9,				464.70,			1.94,		2.09,			0,			1.48
06/11/2017,	07:37:31,		008.545909,			047.413486,			9,				463.70,			1.94,		2.09,			0,			1.63
06/11/2017,	07:37:32,		008.545914,			047.413486,			9,				463.10,			1.93,		2.09,			0,			0.88
06/11/2017,	07:37:33,		008.545918,			047.413488,			9,				462.30,			1.93,		2.09,			0,			0.29
06/11/2017,	07:37:34,		008.545921,			047.413490,			9,				462.00,			1.93,		2.09,			0,			4.84
06/11/2017,	07:37:35,		008.545927,			047.413487,			9,				461.60,			1.93,		2.09,			0,			2.16
06/11/2017,	07:37:36,		008.545934,			047.413485,			9,				462.10,			1.93,		2.09,			0,			1.46
06/11/2017,	07:37:37,		008.545941,			047.413486,			9,				462.00,			1.93,		2.09,			0,			1.83
06/11/2017,	07:37:38,		008.545937,			047.413482,			9,				461.40,			1.93,		2.09,			0,			0.42
06/11/2017,	07:37:39,		008.545938,			047.413477,			9,				460.90,			1.93,		2.09,			0,			0.67
06/11/2017,	07:37:40,		008.545943,			047.413470,			9,				460.20,			1.93,		2.09,			0,			1.05
06/11/2017,	07:37:41,		008.545946,			047.413463,			9,				459.50,			1.93,		2.08,			0,			0.42
06/11/2017,	07:37:42,		008.545946,			047.413457,			9,				459.00,			1.93,		2.08,			0,			0.13
06/11/2017,	07:37:43,		008.545944,			047.413451,			9,				458.20,			1.93,		2.08,			0,			0.29
06/11/2017,	07:37:44,		008.545942,			047.413445,			9,				457.50,			1.93,		2.08,			0,			0.62
06/11/2017,	07:37:45,		008.545944,			047.413438,			9,				457.20,			1.93,		2.08,			0,			0.32
06/11/2017,	07:37:46,		008.545943,			047.413432,			9,				456.40,			1.93,		2.08,			0,			1.31
06/11/2017,	07:37:47,		008.545941,			047.413423,			9,				455.70,			1.93,		2.08,			0,			5.71
06/11/2017,	07:37:48,		008.545945,			047.413407,			9,				455.00,			1.93,		2.08,			0,			9.63
06/11/2017,	07:37:49,		008.545961,			047.413385,			9,				454.70,			1.93,		2.08,			0,			10.97
06/11/2017,	07:37:50,		008.545981,			047.413360,			9,				454.10,			1.93,		2.08,			0,			14.18
06/11/2017,	07:37:51,		008.546006,			047.413325,			9,				453.10,			1.92,		2.08,			0,			13.94
06/11/2017,	07:37:52,		008.546028,			047.413292,			9,				451.60,			1.92,		2.08,			0,			13.76
06/11/2017,	07:37:53,		008.546054,			047.413264,			9,				450.20,			1.92,		2.08,			0,			7.49
06/11/2017,	07:37:54,		008.546066,			047.413250,			9,				446.70,			1.92,		2.08,			0,			7.13
06/11/2017,	07:37:55,		008.546079,			047.413223,			9,				443.90,			1.92,		2.08,			0,			5.06
06/11/2017,	07:37:56,		008.546102,			047.413207,			9,				442.60,			1.92,		2.08,			0,			13.65
06/11/2017,	07:37:57,		008.546124,			047.413163,			9,				441.60,			1.92,		2.08,			0,			11.00
06/11/2017,	07:37:58,		008.546134,			047.413135,			9,				440.80,			2.64,		2.34,			0,			9.00
06/11/2017,	07:37:59,		008.546151,			047.413113,			8,				440.40,			2.44,		2.22,			0,			10.45
06/11/2017,	07:38:00,		008.546182,			047.413092,			8,				439.70,			2.44,		2.22,			0,			14.20
06/11/2017,	07:38:01,		008.546223,			047.413059,			7,				438.80,			2.67,		2.62,			0,			12.20
06/11/2017,	07:38:02,		008.546265,			047.413044,			4,				437.50,			5.92,		6.72,			0,			0.00
06/11/2017,	07:38:04,		008.546314,			047.413011,			3,				443.40,			1.00,		6.30,			0,			1.11
06/11/2017,	07:38:05,		008.546279,			047.413049,			7,				443.60,			2.44,		2.37,			0,			2.32
