08/10/2017,	10:42:52,		011.039188,			053.139331,			4,				29.20,			8.60,		21.55,			0,			6.68
08/10/2017,	10:42:53,		011.039213,			053.139328,			4,				29.10,			8.60,		21.54,			0,			6.09
08/10/2017,	10:42:54,		011.039231,			053.139336,			3,				30.80,			1.00,		9.69,			0,			5.31
08/10/2017,	10:42:55,		011.039241,			053.139328,			3,				30.90,			1.00,		9.68,			0,			5.27
08/10/2017,	10:42:56,		011.039262,			053.139325,			3,				30.90,			1.00,		9.68,			0,			3.68
08/10/2017,	10:42:57,		011.039212,			053.139369,			4,				31.50,			3.30,		9.91,			0,			3.41
08/10/2017,	10:42:58,		011.039191,			053.139395,			4,				31.50,			3.30,		9.91,			0,			3.58
08/10/2017,	10:42:59,		011.039196,			053.139414,			5,				31.60,			3.29,		4.36,			0,			4.22
08/10/2017,	10:43:00,		011.039202,			053.139437,			5,				31.40,			3.29,		4.36,			0,			5.18
08/10/2017,	10:43:01,		011.039201,			053.139465,			5,				31.30,			3.29,		4.36,			0,			5.35
08/10/2017,	10:43:02,		011.039198,			053.139484,			5,				31.20,			3.29,		4.36,			0,			0.00
08/10/2017,	10:43:13,		011.038716,			053.139914,			5,				29.80,			8.50,		12.50,			0,			16.82
08/10/2017,	10:43:14,		011.038858,			053.140039,			6,				30.10,			2.99,		4.09,			0,			17.20
08/10/2017,	10:43:15,		011.038806,			053.140091,			5,				30.00,			6.55,		5.21,			0,			17.37
08/10/2017,	10:43:16,		011.038759,			053.140140,			5,				30.00,			6.55,		5.20,			0,			19.49
08/10/2017,	10:43:17,		011.038794,			053.140231,			5,				30.30,			6.55,		5.20,			0,			19.65
08/10/2017,	10:43:18,		011.038735,			053.140289,			5,				30.30,			6.55,		5.20,			0,			19.81
08/10/2017,	10:43:19,		011.038681,			053.140345,			6,				30.30,			2.99,		4.08,			0,			19.06
08/10/2017,	10:43:20,		011.038542,			053.140366,			6,				30.40,			2.99,		4.08,			0,			17.89
08/10/2017,	10:43:21,		011.038518,			053.140392,			6,				30.40,			2.99,		4.08,			0,			17.67
08/10/2017,	10:43:22,		011.038456,			053.140432,			6,				30.40,			2.99,		4.08,			0,			16.08
08/10/2017,	10:43:23,		011.038459,			053.140450,			5,				30.60,			6.54,		5.19,			0,			15.40
08/10/2017,	10:43:24,		011.038420,			053.140465,			4,				30.60,			6.65,		6.77,			0,			14.58
08/10/2017,	10:43:25,		011.038388,			053.140475,			5,				30.60,			6.54,		5.19,			0,			14.03
08/10/2017,	10:43:26,		011.038237,			053.140459,			5,				31.40,			3.17,		6.58,			0,			13.76
08/10/2017,	10:43:27,		011.038190,			053.140474,			5,				31.50,			3.17,		6.57,			0,			14.21
08/10/2017,	10:43:28,		011.038059,			053.140507,			5,				31.50,			3.17,		6.57,			0,			0.00
08/10/2017,	10:43:31,		011.037949,			053.140575,			3,				31.30,			1.00,		6.88,			0,			0.00
08/10/2017,	10:44:22,		011.030272,			053.140365,			4,				20.60,			7.67,		5.09,			0,			37.70
08/10/2017,	10:44:23,		011.030154,			053.140341,			4,				20.40,			7.67,		5.09,			0,			37.56
08/10/2017,	10:44:24,		011.030040,			053.140288,			4,				20.20,			7.67,		5.08,			0,			37.13
08/10/2017,	10:44:25,		011.029914,			053.140239,			4,				20.00,			7.67,		5.08,			0,			38.31
08/10/2017,	10:44:26,		011.029731,			053.140189,			4,				19.90,			7.67,		5.08,			0,			39.53
08/10/2017,	10:44:27,		011.029548,			053.140147,			4,				19.80,			7.67,		5.08,			0,			39.27
08/10/2017,	10:44:28,		011.029384,			053.140112,			3,				19.70,			1.00,		9.51,			0,			0.00
08/10/2017,	10:44:30,		011.029041,			053.140043,			4,				19.60,			7.67,		5.07,			0,			39.17
08/10/2017,	10:44:31,		011.028938,			053.139994,			4,				19.50,			7.67,		5.07,			0,			36.66
08/10/2017,	10:44:32,		011.028877,			053.139958,			4,				19.50,			7.67,		5.07,			0,			36.73
08/10/2017,	10:44:33,		011.028757,			053.139899,			4,				19.40,			7.67,		5.07,			0,			0.00
08/10/2017,	10:44:40,		011.027722,			053.139603,			4,				19.40,			7.68,		5.06,			0,			38.64
08/10/2017,	10:44:41,		011.027518,			053.139544,			4,				19.50,			7.68,		5.05,			0,			38.57
08/10/2017,	10:44:42,		011.027284,			053.139519,			4,				19.50,			7.68,		5.05,			0,			39.84
08/10/2017,	10:44:43,		011.027053,			053.139467,			4,				19.60,			7.68,		5.05,			0,			39.66
08/10/2017,	10:44:44,		011.026872,			053.139439,			5,				19.60,			6.43,		5.02,			0,			39.32
08/10/2017,	10:44:45,		011.026676,			053.139432,			5,				19.70,			6.43,		5.02,			0,			41.33
08/10/2017,	10:44:46,		011.026403,			053.139394,			5,				19.60,			6.43,		5.02,			0,			42.98
08/10/2017,	10:44:47,		011.026162,			053.139360,			4,				19.60,			7.68,		5.04,			0,			43.67
08/10/2017,	10:44:48,		011.025947,			053.139327,			4,				19.70,			7.68,		5.04,			0,			43.31
08/10/2017,	10:44:49,		011.025749,			053.139288,			4,				19.80,			7.68,		5.04,			0,			42.83
08/10/2017,	10:44:50,		011.025574,			053.139234,			4,				19.80,			7.69,		5.04,			0,			43.69
08/10/2017,	10:44:51,		011.025383,			053.139178,			4,				19.90,			7.69,		5.04,			0,			45.23
08/10/2017,	10:44:52,		011.025134,			053.139137,			4,				19.90,			7.69,		5.03,			0,			44.70
08/10/2017,	10:44:53,		011.024969,			053.139098,			4,				20.00,			7.69,		5.03,			0,			44.68
08/10/2017,	10:44:54,		011.024781,			053.139064,			4,				20.10,			7.69,		5.03,			0,			44.10
08/10/2017,	10:44:55,		011.024637,			053.139023,			4,				20.30,			7.69,		5.03,			0,			44.67
08/10/2017,	10:44:56,		011.024436,			053.138979,			4,				20.20,			7.69,		5.03,			0,			44.58
08/10/2017,	10:44:57,		011.024221,			053.138946,			4,				20.10,			7.69,		5.02,			0,			43.54
08/10/2017,	10:44:58,		011.024057,			053.138909,			4,				20.30,			7.69,		5.02,			0,			42.31
08/10/2017,	10:44:59,		011.023928,			053.138902,			4,				20.50,			7.69,		5.02,			0,			42.97
08/10/2017,	10:45:00,		011.023709,			053.138859,			4,				20.50,			7.69,		5.02,			0,			42.50
08/10/2017,	10:45:01,		011.023515,			053.138829,			4,				20.50,			7.69,		5.02,			0,			42.68
08/10/2017,	10:45:02,		011.023351,			053.138784,			4,				20.60,			7.69,		5.02,			0,			42.07
08/10/2017,	10:45:03,		011.023178,			053.138753,			4,				20.70,			7.70,		5.01,			0,			40.41
08/10/2017,	10:45:04,		011.023029,			053.138723,			4,				20.70,			7.70,		5.01,			0,			41.16
08/10/2017,	10:45:05,		011.022819,			053.138695,			3,				20.80,			1.00,		9.56,			0,			41.46
08/10/2017,	10:45:06,		011.022633,			053.138662,			3,				20.80,			1.00,		9.56,			0,			41.63
08/10/2017,	10:45:07,		011.022476,			053.138616,			3,				20.90,			1.00,		9.56,			0,			42.81
08/10/2017,	10:45:08,		011.022291,			053.138574,			3,				20.90,			1.00,		9.56,			0,			44.57
08/10/2017,	10:45:09,		011.022085,			053.138518,			3,				21.00,			1.00,		9.56,			0,			44.70
08/10/2017,	10:45:10,		011.021919,			053.138450,			3,				21.10,			1.00,		9.56,			0,			44.58
08/10/2017,	10:45:11,		011.021750,			053.138399,			3,				21.20,			1.00,		9.57,			0,			45.15
08/10/2017,	10:45:12,		011.021572,			053.138324,			4,				21.30,			7.70,		5.00,			0,			44.02
08/10/2017,	10:45:13,		011.021462,			053.138257,			4,				21.50,			7.70,		5.00,			0,			44.14
08/10/2017,	10:45:14,		011.021287,			053.138198,			3,				21.60,			1.00,		9.57,			0,			0.00
08/10/2017,	10:51:15,		010.992051,			053.130688,			6,				57.40,			2.68,		3.76,			0,			2.02
08/10/2017,	10:51:16,		010.992101,			053.130643,			6,				64.00,			2.68,		3.76,			0,			1.08
08/10/2017,	10:51:17,		010.992125,			053.130621,			6,				66.50,			2.68,		3.76,			0,			0.61
08/10/2017,	10:51:18,		010.992115,			053.130609,			6,				66.80,			2.68,		3.75,			0,			1.02
08/10/2017,	10:51:19,		010.992145,			053.130603,			6,				67.30,			2.67,		3.75,			0,			1.57
08/10/2017,	10:51:20,		010.992161,			053.130599,			6,				67.20,			2.67,		3.75,			0,			2.18
08/10/2017,	10:51:21,		010.992148,			053.130599,			6,				66.10,			2.67,		3.75,			0,			3.67
08/10/2017,	10:51:22,		010.992132,			053.130603,			6,				64.80,			2.67,		3.75,			0,			3.28
08/10/2017,	10:51:23,		010.992126,			053.130609,			6,				63.50,			2.67,		3.75,			0,			1.03
08/10/2017,	10:51:24,		010.992110,			053.130606,			6,				61.60,			2.67,		3.75,			0,			3.59
08/10/2017,	10:51:25,		010.992108,			053.130605,			6,				60.20,			2.67,		3.75,			0,			5.13
08/10/2017,	10:51:26,		010.992113,			053.130605,			6,				58.90,			2.67,		3.75,			0,			5.32
08/10/2017,	10:51:27,		010.992095,			053.130608,			6,				57.80,			2.67,		3.75,			0,			5.57
08/10/2017,	10:51:28,		010.992085,			053.130602,			6,				56.10,			2.67,		3.75,			0,			5.29
08/10/2017,	10:51:29,		010.992070,			053.130600,			6,				54.90,			2.67,		3.75,			0,			4.88
08/10/2017,	10:51:30,		010.992068,			053.130593,			6,				55.30,			2.67,		3.75,			0,			4.73
08/10/2017,	10:51:31,		010.992068,			053.130594,			6,				56.20,			2.67,		3.75,			0,			3.58
08/10/2017,	10:51:32,		010.992082,			053.130584,			6,				56.90,			2.67,		3.75,			0,			2.89
08/10/2017,	10:51:33,		010.992062,			053.130587,			6,				57.00,			2.67,		3.75,			0,			2.24
08/10/2017,	10:51:34,		010.992061,			053.130580,			6,				56.50,			2.67,		3.75,			0,			1.94
08/10/2017,	10:51:35,		010.992057,			053.130576,			6,				56.30,			2.67,		3.75,			0,			2.21
08/10/2017,	10:51:36,		010.992058,			053.130575,			6,				55.90,			2.67,		3.74,			0,			1.32
09/10/2017,	12:01:34,		Charging,				NA,				NA,				NA,				NA,			NA,				0,			NA
