Date,		Time,			Longitude,			Latitude,		Satellites,			Altitude,		VDOP,		HDOP,		Recording,		Speed
NA,			NA,					NA,					NA,				NA,				NA,				NA,			NA,				NA,			NA
NA,			NA,					NA,					NA,				NA,				NA,				NA,			NA,				NA,			NA
NA,			NA,					NA,					NA,				NA,				NA,				NA,			NA,				NA,			NA
08/10/2017,	10:42:21,		011.039032,			053.139391,			6,				37.20,			3.03,		4.13,			0,			0.49
08/10/2017,	10:42:22,		011.039018,			053.139393,			6,				37.20,			3.03,		4.13,			0,			1.65
08/10/2017,	10:42:23,		011.038990,			053.139397,			6,				36.10,			3.03,		4.13,			0,			1.95
08/10/2017,	10:42:24,		011.038967,			053.139399,			6,				35.40,			3.03,		4.13,			0,			1.66
08/10/2017,	10:42:25,		011.038958,			053.139398,			6,				34.50,			3.03,		4.13,			0,			0.86
08/10/2017,	10:42:26,		011.038928,			053.139402,			6,				33.80,			3.03,		4.13,			0,			1.19
08/10/2017,	10:42:27,		011.038885,			053.139409,			6,				33.30,			3.03,		4.13,			0,			2.57
08/10/2017,	10:42:28,		011.038866,			053.139410,			6,				32.00,			3.03,		4.13,			0,			5.32
08/10/2017,	10:42:29,		011.038863,			053.139402,			6,				31.30,			3.03,		4.13,			0,			4.87
08/10/2017,	10:42:30,		011.038870,			053.139394,			6,				30.70,			3.03,		4.13,			0,			5.44
08/10/2017,	10:42:31,		011.038887,			053.139384,			6,				30.30,			3.03,		4.13,			0,			3.07
08/10/2017,	10:42:32,		011.038882,			053.139379,			6,				29.90,			3.03,		4.12,			0,			1.96
08/10/2017,	10:42:33,		011.038880,			053.139380,			6,				29.10,			3.02,		4.12,			0,			3.73
08/10/2017,	10:42:34,		011.038884,			053.139369,			6,				28.90,			3.02,		4.12,			0,			3.46
08/10/2017,	10:42:35,		011.038889,			053.139361,			6,				29.00,			3.02,		4.12,			0,			2.02
08/10/2017,	10:42:36,		011.038886,			053.139366,			6,				28.80,			3.02,		4.12,			0,			0.28
08/10/2017,	10:42:37,		011.038882,			053.139368,			6,				28.70,			3.02,		4.12,			0,			1.49
08/10/2017,	10:42:38,		011.038871,			053.139365,			6,				29.20,			3.02,		4.12,			0,			1.85
08/10/2017,	10:42:39,		011.038909,			053.139364,			6,				29.00,			3.02,		4.12,			0,			1.82
08/10/2017,	10:42:40,		011.038904,			053.139358,			6,				29.00,			3.02,		4.12,			0,			2.59
08/10/2017,	10:42:41,		011.038909,			053.139353,			6,				29.20,			3.02,		4.12,			0,			3.82
08/10/2017,	10:42:42,		011.038910,			053.139365,			4,				28.30,			4.13,		4.58,			0,			4.63
08/10/2017,	10:42:43,		011.038933,			053.139359,			4,				28.00,			4.13,		4.58,			0,			5.51
08/10/2017,	10:42:44,		011.038958,			053.139354,			4,				28.10,			4.13,		4.58,			0,			5.30
08/10/2017,	10:42:45,		011.039000,			053.139340,			6,				27.80,			3.02,		4.11,			0,			5.34
08/10/2017,	10:42:46,		011.039021,			053.139334,			6,				27.50,			3.01,		4.11,			0,			5.38
08/10/2017,	10:42:47,		011.039039,			053.139334,			6,				27.50,			3.01,		4.11,			0,			5.91
08/10/2017,	10:42:48,		011.039070,			053.139336,			4,				28.10,			6.71,		6.88,			0,			7.11
08/10/2017,	10:42:49,		011.039108,			053.139346,			4,				28.40,			8.61,		21.59,			0,			7.28
08/10/2017,	10:42:50,		011.039140,			053.139348,			4,				28.30,			8.61,		21.58,			0,			6.80
08/10/2017,	10:42:51,		011.039158,			053.139332,			4,				29.20,			8.60,		21.56,			0,			6.88
