Date,		Time,			Longitude,			Latitude,		Satellites,			Altitude,		VDOP,		HDOP,		Recording,		Speed
03/11/2017,	14:49:56,		008.528059,			047.413682,			5,				482.10,			7.18,		3.12,			0,			0.00
03/11/2017,	14:49:58,		008.527920,			047.413675,			5,				484.30,			7.18,		3.12,			0,			19.41
03/11/2017,	14:49:59,		008.527843,			047.413686,			5,				483.20,			7.18,		3.12,			0,			19.23
03/11/2017,	14:50:00,		008.527780,			047.413691,			5,				482.60,			7.18,		3.12,			0,			19.20
03/11/2017,	14:50:01,		008.527704,			047.413716,			5,				480.10,			7.18,		3.12,			0,			19.38
03/11/2017,	14:50:02,		008.527636,			047.413727,			5,				479.40,			7.18,		3.12,			0,			19.49
03/11/2017,	14:50:03,		008.527568,			047.413739,			5,				479.20,			7.18,		3.12,			0,			18.99
03/11/2017,	14:50:04,		008.527495,			047.413749,			5,				478.40,			7.18,		3.12,			0,			19.18
03/11/2017,	14:50:05,		008.527430,			047.413751,			5,				479.30,			7.18,		3.12,			0,			20.00
03/11/2017,	14:50:06,		008.527359,			047.413764,			5,				479.60,			7.18,		3.12,			0,			19.10
03/11/2017,	14:50:07,		008.527289,			047.413779,			5,				479.50,			7.19,		3.12,			0,			18.91
03/11/2017,	14:50:08,		008.527220,			047.413791,			5,				479.20,			7.19,		3.12,			0,			18.64
03/11/2017,	14:50:09,		008.527151,			047.413806,			5,				478.00,			7.19,		3.12,			0,			18.26
03/11/2017,	14:50:10,		008.527084,			047.413818,			5,				477.00,			7.19,		3.12,			0,			19.11
03/11/2017,	14:50:11,		008.527012,			047.413830,			5,				475.50,			7.19,		3.12,			0,			19.98
03/11/2017,	14:50:12,		008.526938,			047.413840,			5,				474.20,			7.19,		3.12,			0,			20.55
03/11/2017,	14:50:13,		008.526863,			047.413851,			5,				472.60,			7.19,		3.12,			0,			20.80
03/11/2017,	14:50:14,		008.526785,			047.413864,			5,				471.20,			7.19,		3.12,			0,			21.11
03/11/2017,	14:50:15,		008.526711,			047.413875,			5,				470.60,			7.19,		3.11,			0,			21.05
03/11/2017,	14:50:16,		008.526631,			047.413891,			5,				469.20,			7.19,		3.11,			0,			21.02
03/11/2017,	14:50:17,		008.526555,			047.413900,			5,				469.00,			7.19,		3.11,			0,			21.17
03/11/2017,	14:50:18,		008.526481,			047.413909,			5,				469.30,			7.19,		3.11,			0,			21.12
03/11/2017,	14:50:19,		008.526406,			047.413920,			5,				469.30,			7.19,		3.11,			0,			21.30
03/11/2017,	14:50:20,		008.526331,			047.413930,			5,				469.40,			7.19,		3.11,			0,			21.68
03/11/2017,	14:50:21,		008.526254,			047.413939,			5,				469.90,			7.19,		3.11,			0,			21.66
03/11/2017,	14:50:22,		008.526177,			047.413948,			5,				470.10,			7.19,		3.11,			0,			21.62
03/11/2017,	14:50:23,		008.526098,			047.413957,			5,				469.60,			7.19,		3.11,			0,			21.73
03/11/2017,	14:50:24,		008.526018,			047.413965,			5,				469.20,			7.19,		3.11,			0,			21.98
03/11/2017,	14:50:25,		008.525939,			047.413969,			5,				469.40,			7.19,		3.11,			0,			21.85
03/11/2017,	14:50:26,		008.525857,			047.413975,			5,				468.70,			7.19,		3.11,			0,			22.27
03/11/2017,	14:50:27,		008.525776,			047.413972,			5,				469.10,			7.19,		3.11,			0,			22.04
